HOG,OG,Gene Tree Parent Clade,A_aulacocarpa_prot,A_thaliana_prot,A_trichopoda_prot,C_sativus_prot,E_grandis_prot,G_maderense_prot,G_raimondii_prot,H_annuus_prot,L_chinense_prot,L_siphilitica_prot,M_acuminata_prot,O_biennis_prot,O_sativa_prot,P_maritima_prot,P_persica_prot,P_trichocarpa_prot,S_lycopersicum_prot,S_noctiflora_prot,S_polyrhiza_prot,V_vinifera_prot
N1.HOG0005327,OG0002245,n0,2,2,1,1,2,1,3,2,0,1,4,4,3,3,1,3,2,1,1,5
N1.HOG0005328,OG0002246,n0,1,2,1,2,3,1,7,1,0,4,2,2,2,1,1,4,2,2,4,1
N1.HOG0005329,OG0002247,n0,1,3,1,3,2,1,3,6,0,1,4,3,3,3,3,1,2,0,1,1
N1.HOG0005330,OG0002248,n0,1,2,1,2,2,1,3,3,0,1,7,2,3,1,2,2,2,2,2,2
N1.HOG0005331,OG0002249,n2,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1
N1.HOG0005332,OG0002249,n13,0,3,1,1,1,0,3,3,0,1,3,1,2,1,1,2,1,2,1,1
N1.HOG0005333,OG0002249,n40,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
N1.HOG0005334,OG0002250,n0,0,4,1,2,3,1,5,3,0,2,4,3,1,3,2,3,3,1,1,1
N1.HOG0005335,OG0002251,n0,0,2,2,2,3,1,2,7,0,3,3,2,2,2,2,3,3,1,1,2
N1.HOG0005336,OG0002252,n0,0,3,1,2,2,1,4,3,0,1,5,2,3,2,2,4,2,2,1,2
N1.HOG0005337,OG0002253,n1,0,1,1,2,0,0,2,0,0,1,3,0,2,0,1,2,0,1,0,1
N1.HOG0005338,OG0002253,n17,0,4,1,2,2,0,3,2,0,1,0,1,0,1,1,4,1,0,2,1
N1.HOG0005339,OG0002254,n0,0,3,2,2,2,1,2,5,0,2,3,1,1,5,2,3,3,1,2,2
N1.HOG0005340,OG0002255,n0,0,2,1,2,3,0,6,8,0,2,3,4,2,1,3,2,1,1,1,1
N1.HOG0005341,OG0002256,n0,0,3,1,3,1,0,5,1,0,2,8,2,3,3,2,1,3,0,2,2
N1.HOG0005342,OG0002257,n3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
N1.HOG0005343,OG0002257,n7,0,1,1,2,1,1,5,0,0,2,0,1,0,1,1,2,3,2,0,1
N1.HOG0005344,OG0002257,n30,0,1,1,1,1,0,1,1,0,0,3,0,0,0,1,1,1,0,0,1
N1.HOG0005345,OG0002258,n2,0,1,1,0,1,0,0,0,0,1,1,1,2,1,1,1,1,0,0,1
N1.HOG0005346,OG0002258,n14,0,2,1,2,2,0,4,1,0,1,3,2,1,0,2,4,2,0,1,1
N1.HOG0005347,OG0002259,n0,0,2,1,3,2,0,7,2,0,1,2,3,3,4,2,5,4,0,1,1
N1.HOG0005348,OG0002260,n1,0,2,1,2,0,0,4,0,0,1,0,0,1,0,1,0,3,0,1,1
N1.HOG0005349,OG0002260,n18,0,2,1,0,1,0,1,3,0,0,3,1,0,1,0,2,0,0,0,1
N1.HOG0005350,OG0002260,n33,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
N1.HOG0005351,OG0002261,n0,0,5,1,1,1,8,1,5,0,1,1,1,4,1,2,3,4,1,1,2
N1.HOG0005352,OG0002262,n0,0,2,2,2,4,1,5,2,0,1,7,0,3,3,2,4,2,0,1,2
N1.HOG0005353,OG0002263,n1,0,1,2,1,1,1,2,4,0,1,2,1,1,2,1,1,1,2,1,1
N1.HOG0005354,OG0002263,n27,0,1,0,1,1,1,1,0,0,0,3,0,1,0,1,1,1,0,1,1
N1.HOG0005355,OG0002264,n0,0,3,1,3,2,0,3,4,0,2,5,3,3,3,2,3,3,1,1,1
N1.HOG0005356,OG0002265,n2,0,0,1,0,0,0,0,0,0,0,3,0,14,1,0,1,0,1,3,0
N1.HOG0005357,OG0002265,n25,0,1,1,1,1,1,1,3,0,1,0,2,0,2,1,1,1,0,0,1
N1.HOG0005358,OG0002266,n2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
N1.HOG0005359,OG0002266,n7,0,1,1,1,1,0,1,0,0,0,2,0,1,0,1,1,2,0,2,1
N1.HOG0005360,OG0002266,n21,0,2,1,0,0,0,3,2,0,1,2,0,1,0,2,4,1,0,2,1
N1.HOG0005361,OG0002267,n2,0,2,1,2,1,1,2,8,0,1,7,1,2,1,1,3,2,2,1,1
N1.HOG0005362,OG0002267,n39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
N1.HOG0005363,OG0002268,n2,0,1,0,2,1,1,1,1,0,1,0,1,0,0,1,3,1,0,1,2
N1.HOG0005364,OG0002268,n19,0,2,1,1,1,1,2,1,0,1,3,1,1,1,1,2,1,1,1,1
N1.HOG0005365,OG0002268,n41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N1.HOG0005366,OG0002269,n0,0,2,1,2,2,2,3,2,0,3,8,2,2,2,2,3,2,2,1,2
N1.HOG0005367,OG0002270,n1,0,1,1,1,1,11,1,1,0,1,1,1,2,0,1,1,1,0,1,1
N1.HOG0005368,OG0002270,n19,0,1,0,1,1,0,1,1,0,1,0,1,0,2,1,2,1,0,0,1
N1.HOG0005369,OG0002271,n0,0,2,1,2,5,1,7,3,0,2,3,2,0,1,2,5,2,2,1,2
N1.HOG0005370,OG0002272,n0,0,2,1,1,1,2,4,3,0,3,3,2,4,5,3,3,2,1,1,1
N1.HOG0005371,OG0002273,n2,0,1,1,1,1,1,1,2,0,1,2,0,1,1,1,1,1,1,1,2
N1.HOG0005372,OG0002273,n21,0,1,1,2,2,0,3,1,0,0,1,1,1,2,1,2,2,0,1,1
N1.HOG0005373,OG0002274,n2,0,1,1,1,1,1,1,3,0,1,1,2,1,1,1,1,1,1,1,1
N1.HOG0005374,OG0002274,n22,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,2,1,1,1
N1.HOG0005375,OG0002275,n4,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
N1.HOG0005376,OG0002275,n8,0,1,1,1,1,0,2,1,0,1,1,0,1,0,1,2,1,0,1,0
N1.HOG0005377,OG0002275,n23,0,2,0,2,1,0,2,1,0,1,0,1,0,2,1,2,1,1,0,3
N1.HOG0005378,OG0002276,n2,0,3,1,1,1,0,1,1,0,1,2,1,2,2,1,1,1,0,2,1
N1.HOG0005379,OG0002276,n23,0,0,1,1,2,1,3,0,0,1,0,2,0,3,1,2,1,1,0,1
N1.HOG0005380,OG0002277,n0,0,2,6,3,1,1,8,0,0,2,3,0,1,0,3,6,4,0,1,2
N1.HOG0005381,OG0002278,n0,0,1,2,3,5,1,3,2,0,1,1,3,2,0,1,7,2,1,3,5
N1.HOG0005382,OG0002279,n1,0,1,1,1,1,1,2,2,0,1,1,1,1,1,1,2,1,1,1,1
N1.HOG0005383,OG0002279,n22,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1
N1.HOG0005384,OG0002280,n0,0,2,1,1,3,1,4,2,0,2,6,2,2,4,2,4,2,1,2,2
N1.HOG0005385,OG0002281,n2,0,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,2,1
N1.HOG0005386,OG0002281,n22,0,2,1,1,1,1,1,2,0,1,2,1,1,1,1,2,1,1,0,1
N1.HOG0005387,OG0002282,n1,0,2,2,1,1,1,1,0,0,0,0,1,0,1,1,2,0,0,1,1
N1.HOG0005388,OG0002282,n15,0,0,1,1,1,1,2,0,0,1,4,1,1,1,1,3,5,1,1,3
N1.HOG0005389,OG0002283,n0,0,1,1,2,2,1,2,7,0,3,2,4,3,3,2,3,2,1,2,2
N1.HOG0005390,OG0002284,n2,0,1,1,1,1,1,1,1,0,1,3,1,3,0,1,1,0,0,1,1
N1.HOG0005391,OG0002284,n21,0,2,1,2,1,0,2,5,0,1,0,2,0,1,1,2,1,0,0,1
N1.HOG0005392,OG0002285,n0,0,2,1,2,2,2,3,4,0,3,2,2,3,1,2,3,4,2,2,2
N1.HOG0005393,OG0002286,n1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,1,2,0,1,1,1
N1.HOG0005394,OG0002286,n14,0,2,1,1,1,1,2,2,0,1,3,2,1,1,1,2,2,2,1,1
N1.HOG0005395,OG0002287,n0,0,3,1,3,3,0,5,3,0,2,4,2,3,1,3,3,2,1,1,2
N1.HOG0005396,OG0002288,n0,0,2,3,3,2,2,6,3,0,2,1,2,1,3,2,4,2,1,1,2
N1.HOG0005397,OG0002289,n0,0,1,1,3,5,1,3,4,0,1,3,3,1,1,3,3,2,3,2,3
N1.HOG0005398,OG0002290,n2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
N1.HOG0005399,OG0002290,n4,0,3,1,1,0,1,1,2,0,1,4,0,3,3,1,1,1,0,0,0
N1.HOG0005400,OG0002290,n32,0,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,2,1,0,1
N1.HOG0005401,OG0002291,n0,0,2,1,2,3,1,4,7,0,1,7,2,1,2,1,2,4,1,1,1
N1.HOG0005402,OG0002292,n0,0,1,1,4,9,1,6,0,0,0,4,0,4,0,3,4,3,1,0,2
N1.HOG0005403,OG0002293,n0,0,3,1,2,1,0,6,2,0,3,6,1,4,1,2,6,1,1,1,1
N1.HOG0005404,OG0002294,n1,0,1,1,1,1,1,1,1,0,1,1,3,1,2,1,1,1,0,1,1
N1.HOG0005405,OG0002294,n20,0,1,1,1,5,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1
N1.HOG0005406,OG0002295,n3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
N1.HOG0005407,OG0002295,n6,0,3,1,2,8,0,4,1,0,2,1,2,1,2,2,2,2,1,1,2
N1.HOG0005408,OG0002296,n0,0,3,1,2,2,1,3,2,0,1,3,1,15,1,2,3,1,0,0,1
N1.HOG0005409,OG0002297,n0,0,3,2,3,3,1,3,3,0,2,4,1,2,1,3,5,2,1,1,2
N1.HOG0005410,OG0002298,n0,0,2,1,2,2,1,4,5,0,3,1,3,1,4,2,3,2,2,2,2
N1.HOG0005411,OG0002299,n0,0,2,1,3,3,1,4,2,0,1,5,2,2,2,2,4,4,1,2,2
N1.HOG0005412,OG0002300,n1,0,1,1,1,1,1,1,1,0,1,1,2,1,2,1,1,1,0,1,1
N1.HOG0005413,OG0002300,n19,0,1,3,1,4,0,2,0,0,2,1,1,1,2,1,1,1,1,1,1
N1.HOG0005414,OG0002301,n2,0,2,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,3,1,1
N1.HOG0005415,OG0002301,n27,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
N1.HOG0005416,OG0002301,n34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.HOG0005417,OG0002301,n35,0,0,1,0,0,0,0,2,0,1,1,0,1,1,0,0,1,0,0,0
N1.HOG0005418,OG0002302,n0,0,2,1,3,3,1,5,3,0,2,5,1,3,1,2,1,4,0,1,5
N1.HOG0005419,OG0002303,n0,0,1,1,2,2,1,5,7,0,2,4,2,2,2,2,4,2,0,2,1
N1.HOG0005420,OG0002304,n0,0,1,1,3,3,1,3,4,0,2,3,4,2,2,2,4,2,1,2,2
N1.HOG0005421,OG0002305,n0,0,1,1,0,1,0,8,4,0,1,1,0,1,2,0,5,14,0,1,2
N1.HOG0005422,OG0002306,n0,0,2,1,2,3,0,5,4,0,0,1,0,8,0,1,6,8,0,0,0
N1.HOG0005423,OG0002307,n0,0,0,2,2,1,0,5,9,0,2,7,1,1,2,1,2,2,1,3,2
N1.HOG0005424,OG0002308,n0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0005425,OG0002309,n0,0,0,0,0,0,1,27,1,0,1,0,1,0,0,6,1,4,0,0,1
N1.HOG0005426,OG0002310,n0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0005427,OG0002311,n0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
N1.HOG0005428,OG0002312,n0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
N1.HOG0005429,OG0002313,n0,1,1,4,1,3,1,4,3,0,2,4,2,1,2,2,2,2,1,3,2
N1.HOG0005430,OG0002314,n3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N1.HOG0005431,OG0002314,n4,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,2,1,1,1,1
N1.HOG0005432,OG0002314,n25,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
N1.HOG0005433,OG0002315,n0,1,2,1,1,2,2,2,7,0,1,5,2,2,2,2,4,1,1,2,2
N1.HOG0005434,OG0002316,n0,2,2,1,2,4,2,3,4,0,2,3,4,1,1,2,3,2,1,1,2
N1.HOG0005435,OG0002317,n0,1,3,1,1,2,2,3,2,0,1,4,3,2,4,1,3,3,2,3,0
N1.HOG0005436,OG0002318,n0,2,2,2,3,1,0,5,3,0,3,2,2,1,2,3,4,3,0,2,1
N1.HOG0005437,OG0002319,n0,1,2,1,1,1,2,2,3,0,3,3,1,3,5,4,2,3,1,1,3
N1.HOG0005438,OG0002320,n0,1,2,2,1,2,1,4,3,0,3,1,2,3,2,2,4,3,1,2,2
N1.HOG0005439,OG0002321,n3,1,1,1,1,1,1,4,0,0,1,1,1,1,0,1,1,1,0,1,1
N1.HOG0005440,OG0002321,n21,0,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,1,0
N1.HOG0005441,OG0002321,n29,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,2,0,1
N1.HOG0005442,OG0002322,n0,1,1,1,2,1,2,2,3,0,1,1,1,0,9,1,3,3,1,1,2
N1.HOG0005443,OG0002323,n0,1,3,1,2,2,0,2,4,0,2,4,4,1,2,2,4,2,1,2,2
N1.HOG0005444,OG0002324,n0,1,4,1,2,2,2,4,4,0,1,5,3,1,3,1,2,2,0,2,1
N1.HOG0005445,OG0002325,n0,1,1,3,1,9,1,3,1,0,1,3,1,2,2,3,2,1,2,1,3
N1.HOG0005446,OG0002326,n0,2,2,1,1,1,1,2,5,0,3,3,2,2,0,3,4,1,1,2,2
N1.HOG0005447,OG0002327,n0,1,3,1,2,1,0,3,5,0,2,2,1,3,3,1,2,5,2,2,3
N1.HOG0005448,OG0002328,n0,1,2,1,2,2,1,3,4,0,3,2,1,2,4,2,3,3,2,2,1
N1.HOG0005449,OG0002329,n0,1,2,1,3,2,1,4,4,0,2,3,2,2,1,2,4,3,1,1,2
N1.HOG0005450,OG0002330,n0,1,2,1,2,2,2,2,4,0,3,2,3,3,3,2,2,2,2,1,3
N1.HOG0005451,OG0002331,n0,1,1,3,2,3,0,2,3,0,1,3,6,3,1,3,4,1,1,1,3
N1.HOG0005452,OG0002332,n0,1,2,1,3,3,1,3,3,0,3,3,2,2,2,2,4,2,1,1,2
N1.HOG0005453,OG0002333,n1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3
N1.HOG0005454,OG0002333,n9,1,1,1,2,1,1,3,1,0,2,3,3,2,1,1,4,1,2,2,1
N1.HOG0005455,OG0002334,n0,1,2,1,2,9,0,5,0,0,0,1,0,4,0,2,5,1,2,3,0
N1.HOG0005456,OG0002335,n0,1,3,1,2,2,1,3,3,0,2,3,3,1,4,2,3,3,1,2,1
N1.HOG0005457,OG0002336,n0,1,5,1,2,1,0,6,3,0,2,2,2,2,3,2,4,2,1,1,1
N1.HOG0005458,OG0002337,n0,3,1,1,3,5,2,4,2,0,2,1,2,2,2,2,4,1,1,1,2
N1.HOG0005459,OG0002338,n0,2,3,1,2,1,2,3,3,0,2,6,4,1,1,2,2,3,1,1,2
N1.HOG0005460,OG0002339,n1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1
N1.HOG0005461,OG0002339,n10,1,2,1,2,1,0,4,4,0,1,4,1,2,1,1,3,1,0,2,1
N1.HOG0005462,OG0002340,n0,1,1,1,1,3,0,3,4,0,2,2,4,3,4,2,3,2,2,1,2
N1.HOG0005463,OG0002341,n2,1,2,1,2,1,0,3,4,0,2,3,1,4,3,2,3,1,1,2,2
N1.HOG0005464,OG0002341,n39,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.HOG0005465,OG0002342,n0,1,2,1,2,5,2,5,4,0,2,1,2,3,1,2,2,2,2,1,1
N1.HOG0005466,OG0002343,n0,1,2,1,1,2,1,3,3,0,2,5,2,4,3,2,2,2,1,2,2
N1.HOG0005467,OG0002344,n0,1,2,1,2,3,1,4,2,0,2,6,2,2,2,2,3,2,0,2,2
N1.HOG0005468,OG0002345,n1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0005469,OG0002345,n4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0
N1.HOG0005470,OG0002345,n10,1,2,1,3,2,1,3,0,0,1,1,5,0,4,2,1,3,0,0,1
N1.HOG0005471,OG0002346,n0,2,2,3,1,1,1,2,3,0,2,3,2,2,3,1,5,3,0,1,4
N1.HOG0005472,OG0002347,n0,1,2,1,2,4,2,3,1,0,3,2,2,2,1,2,3,4,2,1,3
N1.HOG0005473,OG0002348,n0,1,2,1,2,2,2,5,6,0,1,3,3,1,2,2,2,3,0,2,2
N1.HOG0005474,OG0002349,n2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0005475,OG0002349,n3,1,2,1,1,3,1,2,4,0,2,3,2,4,1,2,1,3,2,2,2
N1.HOG0005476,OG0002350,n0,1,3,1,1,2,1,2,1,0,2,3,3,3,4,2,4,3,1,2,2
N1.HOG0005477,OG0002351,n0,2,3,2,2,3,0,3,2,0,2,3,2,3,2,3,3,1,1,2,1
N1.HOG0005478,OG0002352,n0,1,2,1,2,2,0,4,8,0,1,4,1,3,1,2,4,1,0,1,3
N1.HOG0005479,OG0002353,n1,0,2,1,1,1,0,2,2,0,4,1,1,1,0,1,2,1,0,1,1
N1.HOG0005480,OG0002353,n22,0,1,2,1,1,1,1,1,0,1,1,1,1,2,1,2,1,0,1,1
N1.HOG0005481,OG0002354,n2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
N1.HOG0005482,OG0002354,n4,0,2,3,1,1,0,1,5,0,0,3,0,1,0,1,1,2,0,1,0
N1.HOG0005483,OG0002354,n24,0,1,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,0,1,1
N1.HOG0005484,OG0002355,n0,0,3,2,1,1,2,3,3,0,3,2,1,2,2,1,6,2,3,2,3
N1.HOG0005485,OG0002356,n1,0,1,1,0,0,0,1,0,0,1,2,0,1,0,1,1,1,0,0,1
N1.HOG0005486,OG0002356,n11,0,4,1,1,1,1,2,2,0,1,7,2,1,1,1,2,1,1,1,1
N1.HOG0005487,OG0002357,n0,0,4,1,2,2,1,3,3,0,2,5,1,3,2,2,3,3,1,1,2
N1.HOG0005488,OG0002358,n0,0,10,0,0,0,0,5,11,0,0,1,0,2,1,8,2,2,0,0,0
N1.HOG0005489,OG0002359,n0,0,2,1,2,2,0,5,6,0,2,3,2,2,2,2,3,2,3,1,2
N1.HOG0005490,OG0002360,n0,0,5,1,4,2,0,5,2,0,2,4,0,5,1,2,4,3,0,0,1
N1.HOG0005491,OG0002361,n1,0,1,1,1,1,1,2,2,0,1,2,1,1,0,1,1,1,0,1,1
N1.HOG0005492,OG0002361,n20,0,1,1,1,2,1,2,1,0,1,1,1,2,1,1,1,1,1,1,1
N1.HOG0005493,OG0002362,n0,0,4,1,3,2,1,3,5,0,2,7,0,1,0,2,3,3,0,2,2
N1.HOG0005494,OG0002363,n0,0,3,2,3,3,0,4,5,0,1,2,0,3,1,2,3,4,1,2,3
N1.HOG0005495,OG0002364,n1,0,1,1,1,1,0,1,1,0,0,2,0,1,0,1,1,1,0,0,0
N1.HOG0005496,OG0002364,n12,0,1,1,2,5,0,4,1,0,0,2,0,2,0,2,4,2,0,3,1
N1.HOG0005497,OG0002365,n0,0,4,1,1,1,2,3,6,0,2,1,1,5,0,1,2,4,2,4,1
N1.HOG0005498,OG0002366,n2,0,3,1,1,1,0,2,0,0,0,1,0,2,0,1,0,0,0,1,0
N1.HOG0005499,OG0002366,n14,0,3,1,3,1,0,4,2,0,1,1,1,1,0,2,4,3,1,0,0
N1.HOG0005500,OG0002367,n3,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,2,0,0,1,1
N1.HOG0005501,OG0002367,n15,0,1,1,1,1,0,3,0,0,0,0,1,0,0,1,1,1,0,0,1
N1.HOG0005502,OG0002367,n26,0,1,0,1,0,0,2,0,0,1,2,1,1,1,1,2,1,0,1,1
N1.HOG0005503,OG0002368,n0,0,3,2,4,2,0,3,2,0,1,7,0,1,1,2,2,4,0,2,5
N1.HOG0005504,OG0002369,n0,0,4,1,4,2,1,3,5,0,4,1,1,2,1,2,2,2,2,2,3
N1.HOG0005505,OG0002370,n0,0,2,2,9,4,0,5,0,0,0,5,0,4,2,1,5,1,0,0,2
N1.HOG0005506,OG0002371,n0,0,2,1,1,1,2,3,3,0,3,2,3,2,6,2,2,3,1,2,2
N1.HOG0005507,OG0002372,n0,0,1,1,1,1,0,1,10,0,2,2,6,1,6,3,2,1,0,0,4
N1.HOG0005508,OG0002373,n2,0,2,1,1,1,0,3,2,0,1,2,1,1,2,1,2,1,0,2,1
N1.HOG0005509,OG0002373,n25,0,2,1,1,1,0,2,0,0,1,1,0,1,0,1,2,2,0,1,1
N1.HOG0005510,OG0002374,n0,0,2,1,3,2,1,3,4,0,2,3,2,3,3,2,4,2,0,1,3
N1.HOG0005511,OG0002375,n0,0,3,1,2,3,1,6,2,0,2,4,2,1,2,3,4,3,1,1,0
N1.HOG0005512,OG0002376,n0,0,5,1,2,2,0,3,5,0,1,0,0,4,0,5,5,6,0,1,2
N1.HOG0005513,OG0002377,n1,0,1,1,1,1,0,3,0,0,0,2,1,1,0,1,1,1,0,1,2
N1.HOG0005514,OG0002377,n17,0,2,1,1,1,1,1,4,0,1,1,1,2,1,2,2,1,1,1,1
N1.HOG0005515,OG0002378,n0,0,1,1,1,12,1,1,2,0,1,2,1,2,1,2,6,1,1,1,4
N1.HOG0005516,OG0002379,n0,0,3,2,1,4,1,2,4,0,3,1,1,2,2,5,3,5,0,1,1
N1.HOG0005517,OG0002380,n0,0,3,1,2,3,0,3,4,0,2,2,2,1,3,2,3,2,3,4,2
N1.HOG0005518,OG0002381,n0,0,3,1,1,1,11,2,3,0,1,5,2,2,1,1,2,2,1,1,1
N1.HOG0005519,OG0002382,n0,0,3,1,2,2,1,2,5,0,1,7,5,4,1,1,2,2,0,2,1
N1.HOG0005520,OG0002383,n0,0,2,1,1,3,1,4,2,0,5,4,3,1,2,2,4,2,0,1,3
N1.HOG0005521,OG0002384,n1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
N1.HOG0005522,OG0002384,n5,0,2,3,4,2,3,5,2,0,3,0,0,0,0,5,5,0,0,0,3
N1.HOG0005523,OG0002385,n2,0,2,1,1,1,0,1,1,0,0,1,1,1,0,1,2,1,0,1,1
N1.HOG0005524,OG0002385,n17,0,1,1,1,1,1,2,5,0,1,1,1,2,2,1,2,1,0,1,1
N1.HOG0005525,OG0002386,n5,0,2,1,1,1,0,4,3,0,1,0,0,0,1,1,2,2,0,0,0
N1.HOG0005526,OG0002386,n23,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
N1.HOG0005527,OG0002386,n28,0,1,0,2,1,0,2,0,0,0,0,0,0,1,1,2,3,1,0,0
N1.HOG0005528,OG0002387,n1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,2,0,1,1
N1.HOG0005529,OG0002387,n12,0,1,0,1,2,1,3,0,0,1,3,3,3,2,1,2,3,2,1,0
N1.HOG0005530,OG0002388,n1,0,0,1,1,1,0,0,0,0,1,1,1,3,0,1,1,1,0,1,2
N1.HOG0005531,OG0002388,n15,0,1,1,2,1,1,2,2,0,1,4,1,1,2,1,2,0,2,2,1
N1.HOG0005532,OG0002389,n1,0,1,1,1,1,0,2,1,0,0,1,0,1,2,1,1,1,0,0,1
N1.HOG0005533,OG0002389,n15,0,2,1,1,3,0,2,6,0,1,2,1,1,0,1,1,2,1,1,1
N1.HOG0005534,OG0002390,n1,0,2,2,1,2,0,1,2,0,1,2,1,1,0,1,4,0,0,1,1
N1.HOG0005535,OG0002390,n22,0,1,1,1,1,0,2,5,0,1,3,1,0,0,1,1,1,0,0,1
N1.HOG0005536,OG0002391,n0,0,3,2,2,2,1,4,4,0,2,4,3,1,1,2,3,2,1,2,2
N1.HOG0005537,OG0002392,n0,0,1,1,2,2,2,4,3,0,2,4,2,2,1,2,4,2,1,3,3
N1.HOG0005538,OG0002393,n1,0,2,1,1,1,1,1,2,0,0,1,3,1,2,1,2,1,1,1,1
N1.HOG0005539,OG0002393,n23,0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,0,1,1
N1.HOG0005540,OG0002394,n0,0,3,1,3,2,3,5,5,0,2,1,2,2,1,2,4,3,1,1,1
N1.HOG0005541,OG0002395,n0,0,7,1,2,2,2,3,1,0,2,2,2,2,3,2,3,2,2,1,2
N1.HOG0005542,OG0002396,n0,0,1,0,1,6,0,4,4,0,2,0,0,0,0,7,6,3,1,0,7
N1.HOG0005543,OG0002397,n0,0,2,1,3,6,1,3,3,0,1,3,2,1,1,1,1,4,2,4,2
N1.HOG0005544,OG0002398,n1,0,1,1,0,2,0,0,0,0,1,2,1,1,1,1,2,1,1,1,1
N1.HOG0005545,OG0002398,n18,0,1,1,1,2,0,2,2,0,1,1,1,2,1,3,1,2,0,1,1
N1.HOG0005546,OG0002399,n0,0,1,2,2,3,1,3,1,0,1,3,1,11,4,3,2,3,0,0,1
N1.HOG0005547,OG0002400,n0,0,1,3,4,1,1,3,6,0,3,1,1,1,2,1,6,2,1,4,1
N1.HOG0005548,OG0002401,n0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0005549,OG0002402,n0,0,0,10,1,5,0,3,2,0,1,0,0,0,0,3,8,7,0,0,2
N1.HOG0005550,OG0002403,n1,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0
N1.HOG0005551,OG0002403,n8,0,0,1,1,5,0,2,4,0,4,0,0,0,0,3,9,1,0,0,4
N1.HOG0005552,OG0002404,n0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,9,17,0,0,0,0
N1.HOG0005553,OG0002405,n1,0,0,0,0,5,0,1,1,0,0,0,2,0,0,8,2,0,0,0,14
N1.HOG0005554,OG0002405,n33,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,1,0,0,0
N1.HOG0005555,OG0002406,n0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,26,8,1,0,0,1
N1.HOG0005556,OG0002407,n0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0
N1.HOG0005557,OG0002408,n0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
N1.HOG0005558,OG0002409,n0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
N1.HOG0005559,OG0002410,n0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
